,company,rating,reviews,highlyRatedFor,jobs,salary
260,Conduent,3.4,(3.4k),"Promotions, Salary, Skill Development",545,17.3k
261,Sagility,3.9,(3.3k),"Job Security, Company Culture, Work Life Balance",82,13.4k
262,Tata AIG,4.0,(3.3k),"Job Security, Company Culture, Work Life Balance",78,11.9k
263,Tata Technologies,3.4,(3.3k),"Promotions, Salary, Work Satisfaction",178,23.6k
264,Indian Air Force,4.6,(3.3k),"Job Security, Skill Development, Salary",2,5.3k
265,GeBBS Healthcare Solutions,3.8,(3.3k),Job Security,88,11.5k
266,Canara HSBC Life Insurance,4.1,(3.3k),"Salary, Work Life Balance, Company Culture",7,6.3k
267,Tata AutoComp Systems,3.7,(3.3k),Job Security,81,11.5k
268,Jindal Stainless,4.1,(3.3k),"Job Security, Work Life Balance, Skill Development",136,12.1k
269,UPL,4.1,(3.3k),"Job Security, Work Life Balance, Skill Development",54,11.3k
270,PepsiCo,4.0,(3.3k),"Company Culture, Work Life Balance, Work Satisfaction",284,14.4k
271,Max Healthcare,4.0,(3.2k),"Skill Development, Job Security, Company Culture",152,10.7k
272,Ambuja Cements,3.9,(3.2k),"Promotions, Job Security",28,8.8k
273,Mankind Pharma,3.8,(3.2k),Salary,10,9.9k
274,Titan Company,4.2,(3.2k),"Company Culture, Job Security, Work Life Balance",117,10.1k
275,Allcargo Logistics,3.8,(3.2k),Promotions,13,6.8k
276,Amazon Transportation Services,4.2,(3.2k),"Company Culture, Skill Development, Salary",--,8.8k
277,Dilip Buildcon,3.9,(3.2k),Salary,13,8.1k
278,S&P Global,3.9,(3.2k),"Company Culture, Work Life Balance",80,21.2k
279,Societe Generale Global Solution Centre,3.6,(3.2k),"Work Life Balance, Job Security",43,23.7k
280,MSN Laboratories,3.6,(3.2k),Job Security,37,10k
281,Varroc Group,3.6,(3.2k),"Promotions, Job Security, Company Culture",28,9.8k
282,Walmart,3.4,(3.2k),"Promotions, Work Satisfaction, Job Security",163,24.8k
283,Quest Global,3.5,(3.2k),"Promotions, Salary, Work Satisfaction",284,22.2k
284,Afcons Infrastructure,4.2,(3.1k),"Job Security, Skill Development, Company Culture",43,8.8k
285,Ola Electric Mobility,3.3,(3.1k),Salary,--,9.8k
286,Tata Electronics,3.8,(3.2k),Job Security,112,13.3k
287,ESAF Small Finance Bank,3.6,(3.1k),"Promotions, Work Satisfaction, Company Culture",62,7.7k
288,Marpu Foundation,4.9,(3.1k),"Company Culture, Work Life Balance, Work Satisfaction",--,61
289,IDFC FIRST Bharat,4.1,(3.1k),"Company Culture, Work Life Balance, Skill Development",--,5.2k
290,Torrent Pharmaceuticals,4.0,(3.1k),"Job Security, Work Life Balance, Company Culture",36,10.4k
291,DS Group,4.0,(3.1k),"Work Life Balance, Job Security, Salary",36,7.7k
292,Zepto,3.6,(3.1k),"Job Security, Promotions, Company Culture",50,11k
293,Bharat Financial Inclusion,3.7,(3.1k),Salary,2,5.6k
294,Tata Elxsi,3.4,(3.1k),"Promotions, Salary, Work Satisfaction",57,24.1k
295,Square Yards,3.5,(3.1k),"Job Security, Work Life Balance, Work Satisfaction",82,9.6k
296,HDFC Sales,3.9,(3.1k),"Skill Development, Company Culture, Work Life Balance",44,8.3k
297,Suzlon Group,4.0,(3k),"Job Security, Skill Development, Company Culture",40,8k
298,Zensar Technologies,3.6,(3k),"Promotions, Job Security, Work Satisfaction",523,25.7k
299,Indus Towers,3.6,(3k),"Promotions, Job Security, Work Life Balance",45,9.4k
300,Fujitsu,3.8,(3k),"Work Life Balance, Company Culture",119,17.9k
301,Future Group,4.2,(3k),"Company Culture, Work Life Balance, Skill Development",--,6.2k
302,Eternal Limited,3.6,(3k),"Job Security, Promotions, Work Life Balance",13,15.3k
303,CMS IT Services,3.1,(3k),"Promotions, Salary, Company Culture",54,9.2k
304,VVDN Technologies,3.6,(3k),"Promotions, Salary, Company Culture",17,14.2k
305,I Process Services,3.8,(3k),Work Life Balance,5,5.5k
306,ACC,3.9,(3k),"Promotions, Job Security",13,9.1k
307,IKS Health,3.5,(3k),"Promotions, Salary, Work Satisfaction",13,11.7k
308,Yazaki,3.9,(3k),"Job Security, Skill Development",31,9.3k
309,Nokia,4.0,(3k),"Work Life Balance, Company Culture",24,17.4k
310,Shree Cement,3.8,(3k),"Promotions, Job Security",11,10k
311,Shoppers Stop,3.9,(3k),"Company Culture, Work Life Balance, Job Security",39,7k
312,Apollo Tyres,4.0,(2.9k),"Company Culture, Work Life Balance, Job Security",19,10.1k
313,Fiserv,2.8,(2.9k),"Promotions, Company Culture, Work Satisfaction",15,17.7k
314,Britannia,4.0,(2.9k),"Job Security, Skill Development",21,8.6k
315,Physicswallah,3.6,(2.9k),"Promotions, Job Security, Work Satisfaction",640,9.6k
316,Landmark Group,3.8,(2.9k),Job Security,6,9.6k
317,Exl India,3.5,(2.9k),Job Security,2,18.6k
318,Dalmia Bharat Cement,3.9,(2.8k),"Job Security, Salary",1,5.7k
319,SRF,4.1,(2.8k),"Job Security, Salary, Work Life Balance",18,9.4k
320,Kansai Nerolac Paints,3.8,(2.8k),Promotions,69,8.1k
321,ZS,3.0,(2.8k),"Work Life Balance, Work Satisfaction, Promotions",110,22.2k
322,Blue Dart Express Ltd,3.9,(2.8k),"Job Security, Company Culture, Work Life Balance",8,7k
323,Nestlé,3.7,(2.8k),Salary,22,10.3k
324,Star Health & Allied Insurance,3.5,(2.8k),"Promotions, Company Culture, Work Satisfaction",49,10.7k
